Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.97035E+17,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,en,Twitter for Android,57532,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.969E+17,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!",en,Twitter for Android,71356,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96898E+17,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",en,Twitter for Android,38695,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96797E+17,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4,en,Twitter for iPhone,46339,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96316E+17,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,en,Twitter for Android,226061,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96183E+17,"Watching the returns at 9:45pm. 
#ElectionNight #MAGA🇺🇸 https://t.co/HfuJeRZbod",en,Twitter for iPhone,46222,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96164E+17,RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2…,en,Twitter for iPhone,17818,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9613E+17,RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:…,en,Twitter for iPhone,20092,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9613E+17,RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht…,en,Twitter for iPhone,11586,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96126E+17,"Still time to #VoteTrump! 
#iVoted #ElectionNight https://t.co/UZtYAY1Ba6",en,Twitter for iPhone,25636,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96103E+17,"Don't let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!",en,Twitter for Android,36672,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96102E+17,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country""",en,Twitter for Android,21975,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96099E+17,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,en,Twitter for Android,25229,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96056E+17,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21,und,Twitter for iPhone,25656,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96051E+17,We need your vote. Go to the POLLS! Let's continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1… https://t.co/zGOx74Ebhw,en,Twitter Web Client,24374,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.96029E+17,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!… https://t.co/KPQ5EY9VwQ,en,Twitter Web Client,29825,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95955E+17,TODAY WE MAKE AMERICA GREAT AGAIN!,en,Twitter for Android,351860,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95879E+17,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!… https://t.co/onRpEvzHrW,en,Twitter for iPhone,17594,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95846E+17,"RT @DonaldJTrumpJr: Thanks New Hampshire!!! 
#NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk",en,Twitter for iPhone,10743,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95845E+17,RT @detroitnews: .@IvankaTrump in Michigan: ‘This is your movement’ https://t.co/0Sa7huoOP1  @realDonaldTrump https://t.co/cMXEqSHuDj,en,Twitter for iPhone,7039,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95834E+17,"Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids, Michigan now. 
Watch NH rally here:… https://t.co/hP88anrfgk",en,Twitter for iPhone,9213,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95782E+17,Big news to share in New Hampshire tonight! Polls looking great! See you soon.,en,Twitter for iPhone,13483,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95782E+17,"Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw",en,Twitter for iPhone,13930,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9578E+17,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst… https://t.co/zcH9crFIKM,en,Twitter for iPhone,9125,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9577E+17,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,en,Periscope,10209,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95753E+17,Hey Missouri let's defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!,en,Twitter for iPhone,12594,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95742E+17,"'America must decide between failed policies or fresh perspective, a corrupt system or an outsider'
https://t.co/ll8QIW9SqW",en,Twitter for iPhone,16148,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95741E+17,"'What I Like About Trump ... and Why You Need to Vote for Him'
https://t.co/6rVuDUehZq",en,Twitter for iPhone,9662,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95741E+17,'Why Trump' https://t.co/RpwIYB7aOV,en,Twitter for iPhone,7280,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.95733E+17,"I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!
Watch:… https://t.co/jZzfqUZNYh",en,Twitter for iPhone,10907,None,None
,,,,,,,,,,,,,,
Donald J. Trump,realDonaldTrump,34025,45,15911628,25073877,TRUE,"New York, NY",7.9571E+17,On my way! https://t.co/6L2ILD6r8h,en,Twitter for iPhone,8489,None,None
,,,,,,,,,,,,,,
